Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Jared Abbrederis,WR,Wisconsin,5,176,https://www.sports-reference.com/cfb/players/jared-abbrederis-1.html,73,195,4.5,4.0,30.5,117.0,6.8,4.08,Big Ten,53,4,,,,,,,,,,,,,,,,,,,,,202,3140,15.5,23,28,291,10.4,2,230,3431,14.9,25,,,,,,,,,,,,,,,,,,2014
Davante Adams,WR,Fresno State,2,53,https://www.sports-reference.com/cfb/players/davante-adams-1.html,73,212,4.56,14.0,39.5,123.0,6.82,4.3,MWC,26,2,,,,,,,,,,,,,,,,,,,,,233,3031,13.0,38,0,0,,0,233,3031,13.0,38,,,,,,,,,,,,,,,,,,2014
Mo Alexander,S,Utah State,4,110,https://www.sports-reference.com/cfb/players/maurice-alexander-1.html,73,220,4.5,,38.0,123.0,7.05,4.51,WAC,25,2,66,58,124,16.0,6.5,1,3,0,6,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Ricardo Allen,CB,Purdue,5,147,https://www.sports-reference.com/cfb/players/ricardo-allen-1.html,69,187,4.61,13.0,35.5,117.0,,4.15,Big Ten,50,4,200,50,250,14.5,3.0,13,247,4,11,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Jace Amaro,TE,Texas Tech,2,49,https://www.sports-reference.com/cfb/players/jace-amaro-1.html,77,265,4.74,28.0,33.0,118.0,7.42,4.3,Big 12,32,3,,,,,,,,,,,,,,,,,,,,,138,1818,13.2,13,0,0,,0,138,1818,13.2,13,,,,,,,,,,,,,,,,,,2014
Antonio Andrews,RB,Western Kentucky,0,0,https://www.sports-reference.com/cfb/players/antonio-andrews-1.html,70,225,4.82,20.0,29.5,106.0,7.24,4.49,Sun Belt,42,4,,,,,,,,,,,,,,,,,,,,,85,963,11.3,3,618,3674,5.9,29,703,4637,6.6,32,,,,,,,,,,,,,,,,,,2014
Dri Archer,WR,Kent State,3,97,https://www.sports-reference.com/cfb/players/dri-archer-1.html,68,173,4.26,20.0,38.0,122.0,6.86,4.06,MAC,47,4,,,,,,,,,,,,,,,,,,,,,99,1194,12.1,12,325,2342,7.2,24,424,3536,8.3,36,,,,,,,,,,,,,,,,,,2014
Jeremiah Attaochu,OLB,Georgia Tech,2,50,https://www.sports-reference.com/cfb/players/jeremiah-attaochu-1.html,75,252,,,,,,,ACC,36,3,134,62,196,43.5,31.5,1,5,0,5,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Dion Bailey,S,USC,0,0,https://www.sports-reference.com/cfb/players/dion-bailey-1.html,72,201,4.66,,34.0,113.0,6.97,4.15,Pac-12,38,3,142,81,223,17.0,4.0,11,46,0,8,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Anthony Barr,OLB,UCLA,1,9,https://www.sports-reference.com/cfb/players/anthony-barr-1.html,77,255,4.66,15.0,34.5,119.0,6.82,4.19,Pac-10,50,4,105,47,152,41.5,23.5,0,0,0,1,4,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
