Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,Year
Emmanuel Acho,OLB,Texas,6,204,https://www.sports-reference.com/cfb/players/emmanuel-acho-1.html,74.0,238.0,4.64,24.0,35.5,118.0,7.13,4.28,,37.0,3.0,124.16,88.3,212.0,19.4,5.82,1.18,15.28,0.12,5.6,2.46,4.92,0.43,2.33,40.51,465.33,11.1,5.29,199.2,1282.58,8.83,14.91,239.71,1747.91,8.22,20.2,2012
Joe Adams,WR,Arkansas,4,104,https://www.sports-reference.com/cfb/players/joe-adams-1.html,71.0,179.0,4.51,14.59,36.0,123.0,7.09,4.12,,40.0,4.0,92.52,46.67,139.0,7.97,2.54,1.97,33.48,0.0,11.38,0.5,13.49,1.13,1.89,92.0,1324.0,14.55,8.5,4.0,69.5,11.65,0.0,96.0,1393.5,14.45,8.5,2012
Chas Alecxih,DT,Pittsburgh,0,0,https://www.sports-reference.com/cfb/players/chas-alecxih-1.html,76.0,296.0,5.31,19.0,25.5,99.0,7.74,4.62,,34.0,3.0,75.38,74.16,150.0,26.31,12.43,0.29,2.18,0.0,7.05,1.06,2.03,0.13,2.88,0.17,0.35,4.3,0.0,1.19,5.2,-0.68,0.36,1.36,5.55,0.86,0.36,2012
Frank Alexander,DE,Oklahoma,4,103,https://www.sports-reference.com/cfb/players/frank-alexander-1.html,76.0,270.0,4.8,24.48,31.13,115.26,7.19,4.48,,37.0,4.0,49.67,31.59,81.0,20.47,8.44,0.04,0.0,0.0,8.14,1.89,0.58,0.89,2.3,13.83,156.22,11.19,2.17,22.98,75.37,4.12,4.24,36.81,231.59,6.49,6.41,2012
Antonio Allen,S,South Carolina,7,242,https://www.sports-reference.com/cfb/players/antonio-allen-1.html,73.0,210.0,4.58,17.0,34.0,118.0,7.02,4.25,,42.0,4.0,87.02,43.01,130.0,7.5,1.0,1.0,0.04,0.0,18.0,3.0,0.0,1.0,2.0,45.7,336.12,7.32,1.68,374.69,2061.25,4.94,19.21,420.39,2397.36,6.43,20.89,2012
Dwayne Allen,TE,Clemson,3,64,https://www.sports-reference.com/cfb/players/dwayne-allen-1.html,75.0,255.0,4.85,27.0,32.0,110.0,7.12,4.37,,39.0,3.0,101.8,53.62,155.0,11.11,3.59,4.36,68.54,0.02,14.73,1.09,6.25,0.8,2.95,25.33,302.67,12.05,4.33,0.33,0.33,1.0,0.0,25.67,303.0,11.9,4.33,2012
Jeff Allen,OT,Illinois,2,44,https://www.sports-reference.com/cfb/players/jeff-allen-2.html,76.0,307.0,5.17,26.0,27.5,102.0,8.01,4.9,,4.0,1.0,2.09,0.45,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,55.65,4.42,0.0,143.26,709.66,-0.87,7.97,152.44,765.31,-0.28,7.97,2012
Bryan Anger,P,California,3,70,https://www.sports-reference.com/cfb/players/bryan-anger-1.html,76.0,208.0,4.86,11.25,30.9,113.5,7.13,4.3,,46.0,4.0,123.26,64.1,187.0,9.38,1.2,8.72,84.65,0.64,7.52,1.0,7.1,0.41,1.4,17.7,141.36,8.2,0.52,198.42,1051.47,2.73,10.24,216.12,1192.83,2.86,10.76,2012
Mark Asper,OG,Oregon,6,178,https://www.sports-reference.com/cfb/players/mark-asper-1.html,78.0,319.0,5.32,23.0,27.92,106.89,7.8,4.83,,1.0,1.0,1.4,0.55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.08,0.0,1.0,0.64,0.64,0.08,0.0,0.55,2.45,0.0,1.0,1.2,1.2,0.08,2012
Ryan Baker,OLB,LSU,0,0,https://www.sports-reference.com/cfb/players/ryan-baker-2.html,71.0,232.0,4.8,30.0,34.0,113.0,7.21,4.35,,35.0,3.0,138.95,112.77,252.0,24.46,5.3,2.74,41.22,0.26,5.34,2.77,36.07,0.59,2.14,34.93,275.73,8.4,1.67,380.48,2208.61,4.43,25.55,415.4,2484.34,4.64,27.22,2012
Edwin Baker,RB,Michigan State,7,250,https://www.sports-reference.com/cfb/players/edwin-baker-1.html,68.0,204.0,4.44,20.0,35.0,111.0,7.27,4.31,,41.0,4.0,129.26,67.22,196.0,13.09,3.18,5.17,70.47,0.21,13.58,1.56,2.87,0.91,2.92,25.82,207.2,7.33,0.73,698.8,3816.75,5.46,42.9,724.62,4023.95,5.58,43.63,2012
Mike Ball,RB,Nevada,0,0,https://www.sports-reference.com/cfb/players/mike-ball-1.html,68.0,206.0,4.54,21.0,36.0,112.0,7.1,4.23,,41.0,4.0,133.16,69.78,203.0,13.88,3.51,5.0,69.01,0.22,12.85,1.59,0.0,0.94,3.02,45.76,411.29,8.48,2.27,470.14,2650.03,5.44,24.77,515.9,3061.32,5.7,27.04,2012
Vick Ballard,RB,Mississippi State,5,170,https://www.sports-reference.com/cfb/players/vick-ballard-1.html,70.0,219.0,4.59,23.0,33.0,115.0,7.03,4.19,,41.0,4.0,96.98,51.33,148.0,8.2,2.02,5.69,81.1,0.0,16.13,0.97,0.0,0.54,2.44,52.97,500.9,9.66,2.8,374.65,1938.57,4.81,19.32,427.62,2439.47,5.36,22.12,2012
Mark Barron,S,Alabama,1,7,https://www.sports-reference.com/cfb/players/mark-barron-1.html,73.0,213.0,4.54,18.92,32.81,119.58,7.2,4.32,,42.0,4.0,87.85,44.81,133.0,7.38,0.96,1.2,4.12,0.0,17.46,2.92,13.66,1.0,2.0,51.55,371.57,6.99,1.56,525.89,2856.57,5.64,26.32,577.44,3228.13,5.78,27.88,2012
Travis Benjamin,WR,Miami (FL),4,100,https://www.sports-reference.com/cfb/players/travis-benjamin-1.html,70.0,172.0,4.31,14.0,38.0,119.0,6.86,4.05,,40.0,4.0,104.76,53.27,158.0,9.39,3.08,2.14,36.29,0.0,12.1,0.57,22.54,0.94,2.17,92.0,1323.99,14.55,8.5,4.0,69.5,11.65,0.0,96.0,1393.49,14.45,8.5,2012
Jake Bequette,DE,Arkansas,3,90,https://www.sports-reference.com/cfb/players/jake-bequette-1.html,77.0,274.0,4.75,25.0,34.0,113.0,6.9,4.07,,37.0,4.0,67.45,59.93,127.0,18.93,9.3,2.41,22.66,0.16,6.07,0.63,0.0,0.17,2.7,11.22,138.81,11.34,1.36,14.26,36.24,2.48,2.75,25.49,175.05,6.71,4.11,2012
Tony Bergstrom,OT,Utah,3,95,https://www.sports-reference.com/cfb/players/tony-bergstrom-1.html,77.0,313.0,5.19,32.0,29.5,101.0,7.95,4.84,,4.0,1.0,2.65,0.58,3.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48,54.81,16.19,0.57,108.03,538.36,2.27,5.95,115.51,593.17,14.26,6.53,2012
Justin Blackmon,WR,Oklahoma State,1,5,https://www.sports-reference.com/cfb/players/justin-blackmon-1.html,73.0,207.0,4.46,14.0,34.47,120.92,7.08,4.33,,40.0,4.0,110.75,55.54,166.0,8.83,2.18,6.64,139.6,1.53,8.2,0.39,0.0,0.12,0.18,94.14,1351.0,14.53,8.61,3.93,68.14,11.65,0.0,98.06,1419.14,14.43,8.61,2012
Philip Blake,C,Baylor,4,108,https://www.sports-reference.com/cfb/players/philip-blake-1.html,75.0,311.0,5.17,22.0,29.5,105.0,7.86,4.65,,7.0,2.0,11.44,11.24,23.0,3.98,1.81,0.13,9.45,0.13,0.13,0.0,0.0,0.13,0.33,1.25,9.74,5.31,0.0,25.33,110.41,-0.35,0.0,26.58,120.15,2.06,0.0,2012
Robert Blanton,CB,Notre Dame,5,139,https://www.sports-reference.com/cfb/players/robert-blanton-1.html,73.0,208.0,4.66,12.0,34.0,116.0,6.71,3.97,,36.0,3.0,69.12,37.6,107.0,3.83,0.47,4.63,52.41,0.4,14.02,0.7,8.17,0.69,0.76,30.34,228.87,6.78,1.0,319.57,1720.99,5.23,13.85,349.91,1949.86,5.38,14.85,2012
Jamie Blatnick,DE,Oklahoma State,0,0,https://www.sports-reference.com/cfb/players/jamie-blatnick-1.html,75.0,263.0,4.81,28.0,32.5,112.0,7.22,4.2,,37.0,4.0,68.33,56.11,124.0,36.55,21.33,0.88,6.76,0.0,3.93,1.03,5.84,0.15,3.56,16.17,144.19,10.1,1.78,93.15,466.03,5.14,5.85,109.31,610.22,6.02,7.63,2012
Brandon Bolden,RB,Mississippi,0,0,https://www.sports-reference.com/cfb/players/brandon-bolden-1.html,71.0,222.0,4.55,21.0,38.0,119.0,6.96,4.44,,41.0,4.0,118.99,69.45,188.0,13.85,4.41,3.08,55.51,0.0,12.64,1.02,10.22,0.65,3.06,70.83,711.38,10.13,3.26,524.46,2699.64,5.14,33.36,595.29,3411.02,5.77,36.62,2012
Omar Bolden,CB,Arizona State,4,101,https://www.sports-reference.com/cfb/players/omar-bolden-1.html,70.0,202.0,4.51,24.0,34.84,119.52,6.86,4.23,,36.0,3.0,88.4,38.33,127.0,6.91,0.56,4.7,70.41,0.6,24.22,4.81,16.23,0.44,1.36,40.61,315.0,6.63,2.25,336.58,1914.47,5.47,17.53,377.18,2229.46,5.62,19.78,2012
Brandon Boykin,CB,Georgia,4,123,https://www.sports-reference.com/cfb/players/brandon-boykin-1.html,69.0,182.0,4.44,12.75,35.77,120.1,7.07,4.19,,36.0,3.0,109.42,32.08,142.0,7.99,1.16,7.64,118.62,0.79,18.1,1.2,37.28,0.65,0.58,42.07,410.8,8.71,2.85,339.65,2084.37,5.92,17.45,381.72,2495.17,6.26,20.3,2012
Jarrett Boykin,WR,Virginia Tech,0,0,https://www.sports-reference.com/cfb/players/jarrett-boykin-1.html,74.0,217.0,4.62,11.0,36.0,123.0,7.12,4.28,,40.0,4.0,114.84,69.2,184.0,11.96,3.71,5.25,81.24,0.15,11.4,0.45,10.74,0.82,1.44,92.0,1324.0,14.55,8.5,4.0,69.5,11.65,0.0,96.0,1393.5,14.45,8.5,2012
Nigel Bradham,OLB,Florida State,4,105,https://www.sports-reference.com/cfb/players/nigel-bradham-1.html,74.0,241.0,4.56,24.0,37.0,121.0,7.18,4.37,,35.0,3.0,170.71,109.86,281.0,22.98,4.49,4.05,36.29,0.0,5.16,2.18,0.0,0.23,4.53,59.16,786.61,13.91,7.45,58.97,448.37,4.19,5.38,118.13,1234.98,12.32,12.83,2012
Andre Branch,DE,Clemson,2,38,https://www.sports-reference.com/cfb/players/andre-branch-1.html,76.0,259.0,4.67,19.0,32.5,120.0,7.19,4.25,,37.0,4.0,75.68,47.35,123.0,26.53,15.32,2.27,25.95,0.14,4.95,1.07,0.0,0.68,3.83,17.83,195.44,10.29,1.67,41.96,251.15,5.36,3.38,59.8,446.6,7.56,5.05,2012
LaVon Brazill,WR,Ohio,6,206,https://www.sports-reference.com/cfb/players/lavon-brazill-1.html,71.0,192.0,4.43,11.0,32.5,116.71,7.01,4.26,,40.0,4.0,96.28,56.01,152.0,5.42,0.65,5.1,48.32,0.18,13.18,1.96,24.98,0.87,1.85,92.0,1324.0,14.55,8.5,4.0,69.5,11.65,0.0,96.0,1393.5,14.45,8.5,2012
Michael Brockers,DT,LSU,1,14,https://www.sports-reference.com/cfb/players/michael-brockers-1.html,77.0,322.0,5.31,28.07,26.5,105.0,7.46,4.81,,34.0,3.0,42.72,50.85,94.0,12.67,4.22,0.0,0.0,0.0,4.34,0.27,0.0,0.0,0.87,1.94,14.39,5.27,0.0,41.54,185.51,2.68,0.0,43.48,199.9,3.79,0.0,2012
