Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Emmanuel Acho,OLB,Texas,6,204,https://www.sports-reference.com/cfb/players/emmanuel-acho-1.html,74.0,238.0,4.64,24.0,35.5,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Joe Adams,WR,Arkansas,4,104,https://www.sports-reference.com/cfb/players/joe-adams-1.html,71.0,179.0,4.51,,36.0,123.0,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Chas Alecxih,DT,Pittsburgh,0,0,https://www.sports-reference.com/cfb/players/chas-alecxih-1.html,76.0,296.0,5.31,19.0,25.5,99.0,7.74,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Frank Alexander,DE,Oklahoma,4,103,https://www.sports-reference.com/cfb/players/frank-alexander-1.html,76.0,270.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Antonio Allen,S,South Carolina,7,242,https://www.sports-reference.com/cfb/players/antonio-allen-1.html,73.0,210.0,4.58,17.0,34.0,118.0,7.02,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Dwayne Allen,TE,Clemson,3,64,https://www.sports-reference.com/cfb/players/dwayne-allen-1.html,75.0,255.0,4.85,27.0,32.0,110.0,7.12,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Jeff Allen,OT,Illinois,2,44,https://www.sports-reference.com/cfb/players/jeff-allen-2.html,76.0,307.0,5.17,26.0,27.5,102.0,8.01,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Bryan Anger,P,California,3,70,https://www.sports-reference.com/cfb/players/bryan-anger-1.html,76.0,208.0,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Mark Asper,OG,Oregon,6,178,https://www.sports-reference.com/cfb/players/mark-asper-1.html,78.0,319.0,5.32,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Ryan Baker,OLB,LSU,0,0,https://www.sports-reference.com/cfb/players/ryan-baker-2.html,71.0,232.0,4.8,30.0,34.0,113.0,7.21,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
